CODE	NAME	CREDIT	SECTION	FACULTY	SEAT
MAT361	Statistics	3	2	TBA	40
MAT361	Statistics	3	3	TBA	40
MAT361	Statistics	3	4	TBA	40
MAT361	Statistics	3	5	TBA	40
MAT361	Statistics	3	6	TBA	40
MAT125	Matrix	3	1	TBA	40
MAT125	Matrix	3	2	TBA	40
MAT125	Matrix	3	3	TBA	40
MAT125	Matrix	3	4	TBA	40
MAT125	Matrix	3	5	TBA	40
MAT125	Matrix	3	6	TBA	40
MAT125	Matrix	3	7	TBA	40
MAT125	Matrix	3	8	TBA	40
MAT125	Matrix	3	9	TBA	40
EEE154	Engineering Architecture	1	1	TBA	40
EEE154	Engineering Architecture	1	2	TBA	40
EEE154	Engineering Architecture	1	3	TBA	40
EEE154	Engineering Architecture	1	4	TBA	40
EEE154	Engineering Architecture	1	5	TBA	40
EEE154	Engineering Architecture	1	6	TBA	40
EEE154	Engineering Architecture	1	7	TBA	40
